"activity" "subject" "variable" "average_value"
"LAYING" 25 "tBodyAcc-mean()-X" 0.275301467772127
"LAYING" 26 "tBodyAcc-mean()-X" 0.266665086303289
"WALKING" 26 "tBodyAcc-mean()-X" 0.27707186075
"WALKING" 27 "tBodyAcc-mean()-X" 0.277264567074468
"WALKING" 28 "tBodyAcc-mean()-X" 0.277532554764398
"WALKING" 29 "tBodyAcc-mean()-X" 0.279111521944767
"WALKING" 30 "tBodyAcc-mean()-X" 0.276080501222368
"WALKING_DOWNSTAIRS" 30 "tBodyAcc-mean()-X" 0.304848333333333
"STANDING" 1 "tBodyAcc-mean()-Y" -0.0182981725176081
"WALKING_DOWNSTAIRS" 2 "tBodyAcc-mean()-Y" -0.0191323183174834
"STANDING" 3 "tBodyAcc-mean()-Y" -0.017856067384956
"WALKING_DOWNSTAIRS" 4 "tBodyAcc-mean()-Y" -0.0148081545344921
"STANDING" 5 "tBodyAcc-mean()-Y" -0.0154833455336192
"STANDING" 6 "tBodyAcc-mean()-Y" -0.0175697042641846
"STANDING" 7 "tBodyAcc-mean()-Y" -0.0187904887668182
"STANDING" 8 "tBodyAcc-mean()-Y" -0.0181894974688612
"WALKING_DOWNSTAIRS" 9 "tBodyAcc-mean()-Y" -0.0209466555412396
"WALKING_DOWNSTAIRS" 10 "tBodyAcc-mean()-Y" -0.017835790552415
"SITTING" 11 "tBodyAcc-mean()-Y" -0.0190957961722611
"STANDING" 11 "tBodyAcc-mean()-Y" -0.0240660055
"WALKING_DOWNSTAIRS" 12 "tBodyAcc-mean()-Y" -0.0181581049852301
"WALKING_UPSTAIRS" 12 "tBodyAcc-mean()-Y" -0.0186437983445763
"WALKING_UPSTAIRS" 13 "tBodyAcc-mean()-Y" -0.0176504796070948
"SITTING" 14 "tBodyAcc-mean()-Y" -0.0162548178510526
"SITTING" 15 "tBodyAcc-mean()-Y" -0.016464484771311
"SITTING" 16 "tBodyAcc-mean()-Y" -0.0158567888309016
"SITTING" 17 "tBodyAcc-mean()-Y" -0.0175416045074728
"WALKING_UPSTAIRS" 18 "tBodyAcc-mean()-Y" -0.0172831546595266
"LAYING" 19 "tBodyAcc-mean()-Y" -0.0187589558484787
"SITTING" 19 "tBodyAcc-mean()-Y" -0.0161937053371795
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-Y" -0.0175912993773164
"LAYING" 21 "tBodyAcc-mean()-Y" -0.0176664578561765
"LAYING" 22 "tBodyAcc-mean()-Y" -0.0168273604077383
"LAYING" 23 "tBodyAcc-mean()-Y" -0.019589258786828
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-Y" -0.0176822460103885
"LAYING" 25 "tBodyAcc-mean()-Y" -0.0193221769314914
"LAYING" 26 "tBodyAcc-mean()-Y" -0.0126604564370395
"WALKING" 26 "tBodyAcc-mean()-Y" -0.0183906329089125
"WALKING" 27 "tBodyAcc-mean()-Y" -0.0167969215592152
"WALKING" 28 "tBodyAcc-mean()-Y" -0.0191721442063089
"WALKING" 29 "tBodyAcc-mean()-Y" -0.018471953048314
"WALKING" 30 "tBodyAcc-mean()-Y" -0.0175973973266579
"WALKING_DOWNSTAIRS" 30 "tBodyAcc-mean()-Y" -0.0160922593333333
"STANDING" 1 "tBodyAcc-mean()-Z" -0.10784573454611
"WALKING_DOWNSTAIRS" 2 "tBodyAcc-mean()-Z" -0.115649958175497
"STANDING" 3 "tBodyAcc-mean()-Z" -0.106492632429097
"WALKING_DOWNSTAIRS" 4 "tBodyAcc-mean()-Z" -0.107521430810726
"STANDING" 5 "tBodyAcc-mean()-Z" -0.105661736816887
"STANDING" 6 "tBodyAcc-mean()-Z" -0.11599454136
"STANDING" 7 "tBodyAcc-mean()-Z" -0.112492375388312
"STANDING" 8 "tBodyAcc-mean()-Z" -0.106809623683986
"WALKING_DOWNSTAIRS" 9 "tBodyAcc-mean()-Z" -0.101233826213889
"WALKING_DOWNSTAIRS" 10 "tBodyAcc-mean()-Z" -0.111301532185714
"SITTING" 11 "tBodyAcc-mean()-Z" -0.108973870187898
"STANDING" 11 "tBodyAcc-mean()-Z" -0.10390072
"WALKING_DOWNSTAIRS" 12 "tBodyAcc-mean()-Z" -0.106023060985149
"WALKING_UPSTAIRS" 12 "tBodyAcc-mean()-Z" -0.107720839398305
"WALKING_UPSTAIRS" 13 "tBodyAcc-mean()-Z" -0.109135285550765
"SITTING" 14 "tBodyAcc-mean()-Z" -0.100985935692074
"SITTING" 15 "tBodyAcc-mean()-Z" -0.112563587594512
"SITTING" 16 "tBodyAcc-mean()-Z" -0.107263924445355
"SITTING" 17 "tBodyAcc-mean()-Z" -0.109199853130082
"WALKING_UPSTAIRS" 18 "tBodyAcc-mean()-Z" -0.108112251068681
"LAYING" 19 "tBodyAcc-mean()-Z" -0.12140415774744
"SITTING" 19 "tBodyAcc-mean()-Z" -0.106971953217949
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-Z" -0.108029145824294
"LAYING" 21 "tBodyAcc-mean()-Z" -0.10877848058848
"LAYING" 22 "tBodyAcc-mean()-Z" -0.108670376782866
"LAYING" 23 "tBodyAcc-mean()-Z" -0.109093982385242
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-Z" -0.107914503687664
"LAYING" 25 "tBodyAcc-mean()-Z" -0.10962903098044
"LAYING" 26 "tBodyAcc-mean()-Z" -0.103219748046053
"WALKING" 26 "tBodyAcc-mean()-Z" -0.110436054620833
"WALKING" 27 "tBodyAcc-mean()-Z" -0.110848300413564
"WALKING" 28 "tBodyAcc-mean()-Z" -0.109710873104188
"WALKING" 29 "tBodyAcc-mean()-Z" -0.108675612269477
"WALKING" 30 "tBodyAcc-mean()-Z" -0.105658060130789
"WALKING_DOWNSTAIRS" 30 "tBodyAcc-mean()-Z" -0.135723196
"STANDING" 1 "tGravityAcc-mean()-X" 0.744867411573487
"WALKING_DOWNSTAIRS" 2 "tGravityAcc-mean()-X" 0.660782866688742
"STANDING" 3 "tGravityAcc-mean()-X" 0.707814353343108
"WALKING_DOWNSTAIRS" 4 "tGravityAcc-mean()-X" 0.706593043123028
"STANDING" 5 "tGravityAcc-mean()-X" 0.698153719072848
"STANDING" 6 "tGravityAcc-mean()-X" 0.688702063569231
"STANDING" 7 "tGravityAcc-mean()-X" 0.681289120844156
"STANDING" 8 "tGravityAcc-mean()-X" 0.647498175409253
"WALKING_DOWNSTAIRS" 9 "tGravityAcc-mean()-X" 0.670845545555556
"WALKING_DOWNSTAIRS" 10 "tGravityAcc-mean()-X" 0.642905730306122
"SITTING" 11 "tGravityAcc-mean()-X" 0.729207854076433
"STANDING" 11 "tGravityAcc-mean()-X" 0.93750413
"WALKING_DOWNSTAIRS" 12 "tGravityAcc-mean()-X" 0.764929637386139
"WALKING_UPSTAIRS" 12 "tGravityAcc-mean()-X" 0.586740658220339
"WALKING_UPSTAIRS" 13 "tGravityAcc-mean()-X" 0.709996516908257
"SITTING" 14 "tGravityAcc-mean()-X" 0.672081224882353
"SITTING" 15 "tGravityAcc-mean()-X" 0.688872511512195
"SITTING" 16 "tGravityAcc-mean()-X" 0.700906130308743
"SITTING" 17 "tGravityAcc-mean()-X" 0.69893741138587
"WALKING_UPSTAIRS" 18 "tGravityAcc-mean()-X" 0.716863248351648
"LAYING" 19 "tGravityAcc-mean()-X" 0.396641053120567
"SITTING" 19 "tGravityAcc-mean()-X" 0.759788574102564
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-X" 0.628040637177966
"LAYING" 21 "tGravityAcc-mean()-X" 0.645775957808824
"LAYING" 22 "tGravityAcc-mean()-X" 0.609390874922118
"LAYING" 23 "tGravityAcc-mean()-X" 0.662324737580645
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-X" 0.69498126808399
"LAYING" 25 "tGravityAcc-mean()-X" 0.672386622127139
"LAYING" 26 "tGravityAcc-mean()-X" 0.528481106315789
"WALKING" 26 "tGravityAcc-mean()-X" 0.669997072625
"WALKING" 27 "tGravityAcc-mean()-X" 0.627230079867021
"WALKING" 28 "tGravityAcc-mean()-X" 0.62376789513089
"WALKING" 29 "tGravityAcc-mean()-X" 0.683067625610465
"WALKING" 30 "tGravityAcc-mean()-X" 0.695094346473684
"WALKING_DOWNSTAIRS" 30 "tGravityAcc-mean()-X" 0.920279733333333
"STANDING" 1 "tGravityAcc-mean()-Y" -0.0825562579855908
"WALKING_DOWNSTAIRS" 2 "tGravityAcc-mean()-Y" -0.147219886910411
"STANDING" 3 "tGravityAcc-mean()-Y" -0.0260590480328739
"WALKING_DOWNSTAIRS" 4 "tGravityAcc-mean()-Y" 0.112591195496986
"STANDING" 5 "tGravityAcc-mean()-Y" 0.112313109736755
"STANDING" 6 "tGravityAcc-mean()-Y" 0.0162055455953846
"STANDING" 7 "tGravityAcc-mean()-Y" -0.0420221452496753
"STANDING" 8 "tGravityAcc-mean()-Y" 0.0303211113118861
"WALKING_DOWNSTAIRS" 9 "tGravityAcc-mean()-Y" -0.0467446999509028
"WALKING_DOWNSTAIRS" 10 "tGravityAcc-mean()-Y" -0.0740248544557823
"SITTING" 11 "tGravityAcc-mean()-Y" 0.0541723497267516
"STANDING" 11 "tGravityAcc-mean()-Y" -0.172343855
"WALKING_DOWNSTAIRS" 12 "tGravityAcc-mean()-Y" -0.0364733361668317
"WALKING_UPSTAIRS" 12 "tGravityAcc-mean()-Y" 0.143730357126271
"WALKING_UPSTAIRS" 13 "tGravityAcc-mean()-Y" -0.0420858101162079
"SITTING" 14 "tGravityAcc-mean()-Y" -0.111701388781115
"SITTING" 15 "tGravityAcc-mean()-Y" 0.102660491875
"SITTING" 16 "tGravityAcc-mean()-Y" -0.0605235993797814
"SITTING" 17 "tGravityAcc-mean()-Y" -0.013734698125
"WALKING_UPSTAIRS" 18 "tGravityAcc-mean()-Y" -0.01578199625
"LAYING" 19 "tGravityAcc-mean()-Y" 0.117385170141844
"SITTING" 19 "tGravityAcc-mean()-Y" 0.0205548279487179
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-Y" -0.0373059475847458
"LAYING" 21 "tGravityAcc-mean()-Y" -0.0750963071446078
"LAYING" 22 "tGravityAcc-mean()-Y" 0.0315098683115265
"LAYING" 23 "tGravityAcc-mean()-Y" 0.0146209197354839
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-Y" 0.0729509702152231
"LAYING" 25 "tGravityAcc-mean()-Y" 0.0471601427530562
"LAYING" 26 "tGravityAcc-mean()-Y" 0.181035843730263
"WALKING" 26 "tGravityAcc-mean()-Y" 0.0628951108375
"WALKING" 27 "tGravityAcc-mean()-Y" 0.032242387143617
"WALKING" 28 "tGravityAcc-mean()-Y" -0.14757775521466
"WALKING" 29 "tGravityAcc-mean()-Y" 0.115489757911628
"WALKING" 30 "tGravityAcc-mean()-Y" 0.0535258222835316
"WALKING_DOWNSTAIRS" 30 "tGravityAcc-mean()-Y" -0.23449061
"STANDING" 1 "tGravityAcc-mean()-Z" 0.072339870389049
"WALKING_DOWNSTAIRS" 2 "tGravityAcc-mean()-Z" 0.134865335090728
"STANDING" 3 "tGravityAcc-mean()-Z" 0.0480937904190616
"WALKING_DOWNSTAIRS" 4 "tGravityAcc-mean()-Z" 0.164130896618297
"STANDING" 5 "tGravityAcc-mean()-Z" 0.0921607197449904
"STANDING" 6 "tGravityAcc-mean()-Z" 0.0475199990906462
"STANDING" 7 "tGravityAcc-mean()-Z" 0.0342160711928604
"STANDING" 8 "tGravityAcc-mean()-Z" 0.0836542406807936
"WALKING_DOWNSTAIRS" 9 "tGravityAcc-mean()-Z" 0.104353653032743
"WALKING_DOWNSTAIRS" 10 "tGravityAcc-mean()-Z" 0.0552047227876769
"SITTING" 11 "tGravityAcc-mean()-Z" 0.139688402656051
"STANDING" 11 "tGravityAcc-mean()-Z" 0.22207886
"WALKING_DOWNSTAIRS" 12 "tGravityAcc-mean()-Z" 0.0872210977150495
"WALKING_UPSTAIRS" 12 "tGravityAcc-mean()-Z" -0.0597390195025424
"WALKING_UPSTAIRS" 13 "tGravityAcc-mean()-Z" 0.0443010536786239
"SITTING" 14 "tGravityAcc-mean()-Z" -0.161179728291022
"SITTING" 15 "tGravityAcc-mean()-Z" 0.0372897701757012
"SITTING" 16 "tGravityAcc-mean()-Z" 0.0402075536234973
"SITTING" 17 "tGravityAcc-mean()-Z" -0.0177042428953804
"WALKING_UPSTAIRS" 18 "tGravityAcc-mean()-Z" 0.0899901746593407
"LAYING" 19 "tGravityAcc-mean()-Z" 0.205164116944078
"SITTING" 19 "tGravityAcc-mean()-Z" 0.33369004425641
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-Z" 0.10723075947935
"LAYING" 21 "tGravityAcc-mean()-Z" 0.0321851774362745
"LAYING" 22 "tGravityAcc-mean()-Z" 0.23588786398215
"LAYING" 23 "tGravityAcc-mean()-Z" 0.0518662466372043
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-Z" 0.0623227714146982
"LAYING" 25 "tGravityAcc-mean()-Z" 0.239226040930391
"LAYING" 26 "tGravityAcc-mean()-Z" 0.297372368697368
"WALKING" 26 "tGravityAcc-mean()-Z" 0.194038950263333
"WALKING" 27 "tGravityAcc-mean()-Z" 0.14116869604876
"WALKING" 28 "tGravityAcc-mean()-Z" -0.0469931021049738
"WALKING" 29 "tGravityAcc-mean()-Z" 0.208215370043721
"WALKING" 30 "tGravityAcc-mean()-Z" 0.185937316134468
"WALKING_DOWNSTAIRS" 30 "tGravityAcc-mean()-Z" -0.0175809412666667
"STANDING" 1 "tBodyAccJerk-mean()-X" 0.0770930495126801
"WALKING_DOWNSTAIRS" 2 "tBodyAccJerk-mean()-X" 0.0785353156747351
"STANDING" 3 "tBodyAccJerk-mean()-X" 0.0701731261988856
"WALKING_DOWNSTAIRS" 4 "tBodyAccJerk-mean()-X" 0.0788637845151419
"STANDING" 5 "tBodyAccJerk-mean()-X" 0.0841019899622517
"STANDING" 6 "tBodyAccJerk-mean()-X" 0.0813833604034769
"STANDING" 7 "tBodyAccJerk-mean()-X" 0.0831829573168831
"STANDING" 8 "tBodyAccJerk-mean()-X" 0.084215745375516
"WALKING_DOWNSTAIRS" 9 "tBodyAccJerk-mean()-X" 0.0840171430291667
"WALKING_DOWNSTAIRS" 10 "tBodyAccJerk-mean()-X" 0.0798108613061224
"SITTING" 11 "tBodyAccJerk-mean()-X" 0.0830004391649682
"STANDING" 11 "tBodyAccJerk-mean()-X" 0.0850567935
"WALKING_DOWNSTAIRS" 12 "tBodyAccJerk-mean()-X" 0.0797018960059406
"WALKING_UPSTAIRS" 12 "tBodyAccJerk-mean()-X" 0.0545586154898305
"WALKING_UPSTAIRS" 13 "tBodyAccJerk-mean()-X" 0.0794393034550306
"SITTING" 14 "tBodyAccJerk-mean()-X" 0.0741757467665015
"SITTING" 15 "tBodyAccJerk-mean()-X" 0.0776897411304878
"SITTING" 16 "tBodyAccJerk-mean()-X" 0.0775488885374317
"SITTING" 17 "tBodyAccJerk-mean()-X" 0.0814060565059783
"WALKING_UPSTAIRS" 18 "tBodyAccJerk-mean()-X" 0.077480921531044
"LAYING" 19 "tBodyAccJerk-mean()-X" 0.0779477317570567
"SITTING" 19 "tBodyAccJerk-mean()-X" 0.0754987303089744
"WALKING_UPSTAIRS" 20 "tBodyAccJerk-mean()-X" 0.079818125480791
"LAYING" 21 "tBodyAccJerk-mean()-X" 0.0822207874776961
"LAYING" 22 "tBodyAccJerk-mean()-X" 0.0791031130417757
"LAYING" 23 "tBodyAccJerk-mean()-X" 0.0778588215843817
"WALKING_UPSTAIRS" 24 "tBodyAccJerk-mean()-X" 0.0784735003467192
"LAYING" 25 "tBodyAccJerk-mean()-X" 0.0817657442063814
"LAYING" 26 "tBodyAccJerk-mean()-X" 0.0814224740394737
"WALKING" 26 "tBodyAccJerk-mean()-X" 0.0805271657941667
"WALKING" 27 "tBodyAccJerk-mean()-X" 0.0768320396617021
"WALKING" 28 "tBodyAccJerk-mean()-X" 0.0807263062382199
"WALKING" 29 "tBodyAccJerk-mean()-X" 0.0788382324713372
"WALKING" 30 "tBodyAccJerk-mean()-X" 0.0736764933886842
"WALKING_DOWNSTAIRS" 30 "tBodyAccJerk-mean()-X" 0.0485815196666667
"STANDING" 1 "tBodyAccJerk-mean()-Y" 0.0165908438802305
"WALKING_DOWNSTAIRS" 2 "tBodyAccJerk-mean()-Y" 0.00708771249764901
"STANDING" 3 "tBodyAccJerk-mean()-Y" 0.0144664329060411
"WALKING_DOWNSTAIRS" 4 "tBodyAccJerk-mean()-Y" 0.00351340949514196
"STANDING" 5 "tBodyAccJerk-mean()-Y" 0.0017656830384106
"STANDING" 6 "tBodyAccJerk-mean()-Y" 0.000479281129661539
"STANDING" 7 "tBodyAccJerk-mean()-Y" 0.00760909767418831
"STANDING" 8 "tBodyAccJerk-mean()-Y" 0.000860301581786477
"WALKING_DOWNSTAIRS" 9 "tBodyAccJerk-mean()-Y" 0.00678485848399306
"WALKING_DOWNSTAIRS" 10 "tBodyAccJerk-mean()-Y" 0.0129143257457823
"SITTING" 11 "tBodyAccJerk-mean()-Y" 0.00754575472050955
"STANDING" 11 "tBodyAccJerk-mean()-Y" 0.0484157275
"WALKING_DOWNSTAIRS" 12 "tBodyAccJerk-mean()-Y" 0.00232502503732673
"WALKING_UPSTAIRS" 12 "tBodyAccJerk-mean()-Y" 0.0104240426932203
"WALKING_UPSTAIRS" 13 "tBodyAccJerk-mean()-Y" 0.00387961953328135
"SITTING" 14 "tBodyAccJerk-mean()-Y" 0.00443682723817957
"SITTING" 15 "tBodyAccJerk-mean()-Y" 0.00489392052706402
"SITTING" 16 "tBodyAccJerk-mean()-Y" 0.00884018328270219
"SITTING" 17 "tBodyAccJerk-mean()-Y" 0.00848949673339674
"WALKING_UPSTAIRS" 18 "tBodyAccJerk-mean()-Y" 0.0128850449171841
"LAYING" 19 "tBodyAccJerk-mean()-Y" 0.01197467159536
"SITTING" 19 "tBodyAccJerk-mean()-Y" 0.0101588435987179
"WALKING_UPSTAIRS" 20 "tBodyAccJerk-mean()-Y" 0.00220928707107345
"LAYING" 21 "tBodyAccJerk-mean()-Y" 0.00350107553584853
"LAYING" 22 "tBodyAccJerk-mean()-Y" 0.0152572466619626
"LAYING" 23 "tBodyAccJerk-mean()-Y" 0.0200470964972984
"WALKING_UPSTAIRS" 24 "tBodyAccJerk-mean()-Y" 0.00396900308574016
"LAYING" 25 "tBodyAccJerk-mean()-Y" 0.00638633884442543
"LAYING" 26 "tBodyAccJerk-mean()-Y" 0.0121608809678289
"WALKING" 26 "tBodyAccJerk-mean()-Y" 0.00483737169733333
"WALKING" 27 "tBodyAccJerk-mean()-Y" 0.00617714992829521
"WALKING" 28 "tBodyAccJerk-mean()-Y" 0.0138224436546073
"WALKING" 29 "tBodyAccJerk-mean()-Y" 0.00900161248883721
"WALKING" 30 "tBodyAccJerk-mean()-Y" 0.0077552672185
"WALKING_DOWNSTAIRS" 30 "tBodyAccJerk-mean()-Y" -0.0498076716666667
"STANDING" 1 "tBodyAccJerk-mean()-Z" -0.00910758730117003
"WALKING_DOWNSTAIRS" 2 "tBodyAccJerk-mean()-Z" 0.000755760748377483
"STANDING" 3 "tBodyAccJerk-mean()-Z" -0.000526818872875366
"WALKING_DOWNSTAIRS" 4 "tBodyAccJerk-mean()-Z" -0.00737375142832808
"STANDING" 5 "tBodyAccJerk-mean()-Z" -0.0029537113427351
"STANDING" 6 "tBodyAccJerk-mean()-Z" -0.00225896302076923
"STANDING" 7 "tBodyAccJerk-mean()-Z" -0.00791725696048701
"STANDING" 8 "tBodyAccJerk-mean()-Z" -0.0196719912994306
"WALKING_DOWNSTAIRS" 9 "tBodyAccJerk-mean()-Z" -0.00102998088194444
"WALKING_DOWNSTAIRS" 10 "tBodyAccJerk-mean()-Z" -0.0113556967940476
"SITTING" 11 "tBodyAccJerk-mean()-Z" -0.00657436282267516
"STANDING" 11 "tBodyAccJerk-mean()-Z" -0.00655649775
"WALKING_DOWNSTAIRS" 12 "tBodyAccJerk-mean()-Z" -0.0098753579880198
"WALKING_UPSTAIRS" 12 "tBodyAccJerk-mean()-Z" 0.0177408328090508
"WALKING_UPSTAIRS" 13 "tBodyAccJerk-mean()-Z" -0.0123485923641621
"SITTING" 14 "tBodyAccJerk-mean()-Z" -0.00253044692473994
"SITTING" 15 "tBodyAccJerk-mean()-Z" -0.00440993190077744
"SITTING" 16 "tBodyAccJerk-mean()-Z" -0.00143730005564208
"SITTING" 17 "tBodyAccJerk-mean()-Z" 0.00270288011005435
"WALKING_UPSTAIRS" 18 "tBodyAccJerk-mean()-Z" 0.000848545124184616
"LAYING" 19 "tBodyAccJerk-mean()-Z" -0.00263531556095035
"SITTING" 19 "tBodyAccJerk-mean()-Z" 0.000933886249782051
"WALKING_UPSTAIRS" 20 "tBodyAccJerk-mean()-Z" -0.00450611895602542
"LAYING" 21 "tBodyAccJerk-mean()-Z" -0.010659072671299
"LAYING" 22 "tBodyAccJerk-mean()-Z" -0.0072287329753271
"LAYING" 23 "tBodyAccJerk-mean()-Z" -0.000717680881887096
"WALKING_UPSTAIRS" 24 "tBodyAccJerk-mean()-Z" -0.00700960558805774
"LAYING" 25 "tBodyAccJerk-mean()-Z" -0.010346171499489
"LAYING" 26 "tBodyAccJerk-mean()-Z" -0.00497434950706579
"WALKING" 26 "tBodyAccJerk-mean()-Z" -0.00868948039375
"WALKING" 27 "tBodyAccJerk-mean()-Z" -0.00495000607441489
"WALKING" 28 "tBodyAccJerk-mean()-Z" 0.000824208324801046
"WALKING" 29 "tBodyAccJerk-mean()-Z" -0.00355290542467733
"WALKING" 30 "tBodyAccJerk-mean()-Z" 0.000255438073649999
"WALKING_DOWNSTAIRS" 30 "tBodyAccJerk-mean()-Z" -0.115833134
"STANDING" 1 "tBodyGyro-mean()-X" -0.0208764064320173
"WALKING_DOWNSTAIRS" 2 "tBodyGyro-mean()-X" -0.0517030657821192
"STANDING" 3 "tBodyGyro-mean()-X" -0.0248490682828446
"WALKING_DOWNSTAIRS" 4 "tBodyGyro-mean()-X" -0.0289417906907571
"STANDING" 5 "tBodyGyro-mean()-X" -0.0294516873643046
"STANDING" 6 "tBodyGyro-mean()-X" -0.0433611785374462
"STANDING" 7 "tBodyGyro-mean()-X" -0.0518716929407792
"STANDING" 8 "tBodyGyro-mean()-X" 0.00359053897160142
"WALKING_DOWNSTAIRS" 9 "tBodyGyro-mean()-X" -0.0701318154561458
"WALKING_DOWNSTAIRS" 10 "tBodyGyro-mean()-X" -0.0185023695936054
"SITTING" 11 "tBodyGyro-mean()-X" -0.0545826997471656
"STANDING" 11 "tBodyGyro-mean()-X" -0.078305496
"WALKING_DOWNSTAIRS" 12 "tBodyGyro-mean()-X" -0.0554080556989604
"WALKING_UPSTAIRS" 12 "tBodyGyro-mean()-X" -0.0756339311016949
"WALKING_UPSTAIRS" 13 "tBodyGyro-mean()-X" -0.0562470618980061
"SITTING" 14 "tBodyGyro-mean()-X" 0.000253671358297214
"SITTING" 15 "tBodyGyro-mean()-X" -0.0281278780610671
"SITTING" 16 "tBodyGyro-mean()-X" -0.0122341446725137
"SITTING" 17 "tBodyGyro-mean()-X" -0.0146686177049565
"WALKING_UPSTAIRS" 18 "tBodyGyro-mean()-X" -0.0373993798891484
"LAYING" 19 "tBodyGyro-mean()-X" -0.0426130632166468
"SITTING" 19 "tBodyGyro-mean()-X" -0.0239638268382051
"WALKING_UPSTAIRS" 20 "tBodyGyro-mean()-X" -0.0242488811785028
"LAYING" 21 "tBodyGyro-mean()-X" -0.0276346639303578
"LAYING" 22 "tBodyGyro-mean()-X" -0.00800630644716511
"LAYING" 23 "tBodyGyro-mean()-X" -0.0220890418013172
"WALKING_UPSTAIRS" 24 "tBodyGyro-mean()-X" -0.0212578096847769
"LAYING" 25 "tBodyGyro-mean()-X" -0.00298151164792176
"LAYING" 26 "tBodyGyro-mean()-X" -0.0244980085046053
"WALKING" 26 "tBodyGyro-mean()-X" -0.0182291503854167
"WALKING" 27 "tBodyGyro-mean()-X" -0.0608887602789628
"WALKING" 28 "tBodyGyro-mean()-X" -0.064496354556466
"WALKING" 29 "tBodyGyro-mean()-X" -0.0101831910869331
"WALKING" 30 "tBodyGyro-mean()-X" -0.0339625632881842
"WALKING_DOWNSTAIRS" 30 "tBodyGyro-mean()-X" -0.220402462333333
"STANDING" 1 "tBodyGyro-mean()-Y" -0.0880722729400576
"WALKING_DOWNSTAIRS" 2 "tBodyGyro-mean()-Y" -0.0568420186817881
"STANDING" 3 "tBodyGyro-mean()-Y" -0.0743565308442815
"WALKING_DOWNSTAIRS" 4 "tBodyGyro-mean()-Y" -0.0787229907785489
"STANDING" 5 "tBodyGyro-mean()-Y" -0.0774316445596026
"STANDING" 6 "tBodyGyro-mean()-Y" -0.0706129097498462
"STANDING" 7 "tBodyGyro-mean()-Y" -0.0646077113078896
"STANDING" 8 "tBodyGyro-mean()-Y" -0.091077509832669
"WALKING_DOWNSTAIRS" 9 "tBodyGyro-mean()-Y" -0.0729884312991667
"WALKING_DOWNSTAIRS" 10 "tBodyGyro-mean()-Y" -0.0846403674590918
"SITTING" 11 "tBodyGyro-mean()-Y" -0.057760866393949
"STANDING" 11 "tBodyGyro-mean()-Y" -0.131501155
"WALKING_DOWNSTAIRS" 12 "tBodyGyro-mean()-Y" -0.0716054572717822
"WALKING_UPSTAIRS" 12 "tBodyGyro-mean()-Y" -0.03797095185
"WALKING_UPSTAIRS" 13 "tBodyGyro-mean()-Y" -0.0616613787494801
"SITTING" 14 "tBodyGyro-mean()-Y" -0.0954921154823529
"SITTING" 15 "tBodyGyro-mean()-Y" -0.075878845519878
"SITTING" 16 "tBodyGyro-mean()-Y" -0.0724444803980874
